TF	Target	Confidence
Zfp52	Golm1	0.9300332432594931
Stat3	Notch1	0.9299530851146648
Irf1	Inpp5b	0.9298160869089946
Hbp1	Rcl1	0.9297863631524073
Satb1	Ccl1	0.9297794401361644
Ddit3	Clk3	0.9297152912861302
Bach1	Qars	0.9296451378970616
E2f1	Dtl	0.9296124943552895
Arid2	Ccdc50	0.9295598237390656
Cic	Trp53i13	0.929420043273511
Batf	Cdc25b	0.9292382853107447
Plscr1	Cish	0.9291143993641243
Nr4a2	Gyk	0.9290737082777311
Junb	Pdlim4	0.9290532527484897
Arid3a	Notch2	0.9287687551170191
Batf	Txk	0.928710452712435
Batf	Tef	0.9285367983463186
Crem	Tef	0.9283807281602767
Nr4a2	Mapk14	0.9283353784887436
Junb	Igf2r	0.9281750220127978
Mafg	Cd5l	0.9281729422835276
Mxd4	Endod1	0.9281724897985498
Arid3a	Lrmp	0.9281236078700219
Sox4	Qser1	0.9280746331995351
Crem	Txndc17	0.9280181331781275
Zfp275	Cltb	0.9278657543465385
Skil	Tes	0.9278315010816769
Creb3l2	Ypel5	0.9278117028502422
Dbp	Cxcr3	0.9275887441304096
E2f1	Lrrc59	0.9275322356383933
Zfp91	1110057K04Rik	0.9275316169962108
Bach1	Erc1	0.9274626601643566
Bach1	Slfn2	0.9273230542576736
Phf1	Cdk6	0.9270489285254291
Nr4a1	Thoc3	0.9270257348884504
Nr3c1	Map3k5	0.9269794243809776
Ahctf1	Vps54	0.926784432023872
Zfp91	Pck2	0.9266557279730999
Bach1	Slc19a2	0.9264836490386502
Klf10_Klf11	Atp6v1g1	0.9263740646699196
Nr4a3	Cxcr6	0.9263620394015281
Hmgb1	Gnpda1	0.9263101616929316
Bcl6	Slc9a3r1	0.926231883455018
Batf	Lrba	0.9261767944068935
Nr4a2	Idi1	0.926173162922009
Egr1	Pde6d	0.9261428836446228
Bach1	Taf7	0.926142627863893
Elk3	Dnmt3b	0.9260790013078413
Mxd4	Slc1a4	0.9259594933049926
Cux1	Traf3	0.9259522997005981
Elk3	Ostf1	0.925865869244674
Creb3l2	Mmachc	0.9258608614058206
E4f1	Vapb	0.9257955082731777
Mxd4	Tnk2	0.9257433045427395
Egr3	Ostf1	0.925571295496918
Ahctf1	Vdac1	0.9253252822318991
Hif1a	Bnip3	0.9253009298004459
Arid2	Gemin6	0.9252909344756237
Zbtb7a	Plekho1	0.9252602641289595
Ahctf1	Ctss	0.9251963512805408
Bach1	Fyn	0.9251498278176394
Crem	H2-Eb1	0.9251335705552697
Cebpg	Cdkn1b	0.9251136153348625
Ahr	Tnk2	0.9249732657247127
Arid2	Tspan3	0.9249636383478558
Ikzf4	Mmd	0.9249546760459445
Irf2	Zfp426	0.9248656432891087
Skil	Ehd4	0.924852590708048
Dzip1	Pde8a	0.924844261015607
Mafg	Naca	0.9247545196505474
Myb	H2afx	0.9246895987973887
Foxk2_Foxp1...	Cyth1	0.9246175948204434
Rreb1	Zmat3	0.9245896649748109
Batf	Sec24d	0.9244295354081031
Myb	Asnsd1	0.9243859496357185
Irf4	Pten	0.9242348646286135
Clock	Tubgcp5	0.9240750445856449
Klf9	Rbms2	0.9240200242672065
Ahctf1	Dyx1c1	0.9239776469394984
Arid3a	Cpd	0.9238857589914726
Sp100	Antxr2	0.9238156174318735
Crem	Ptp4a1	0.9236536910675113
Hif1a	Rdh10	0.92346851196445
Irf9	Tmem19	0.9231532720058674
E2f1	Tpst1	0.9230767149246117
Klf10	Perp	0.9230524239297828
Zfpm1	Dst	0.9230220652523062
Ets1	Plxnd1	0.9229899839969402
Nfic	Rdh10	0.922989292577703
Arid2	Plod2	0.9229051611563626
Batf	Ikzf4	0.9227091198296407
Irf7	Nudt4	0.922582077570985
Klf10	Il21	0.9224487818464588
Klf10	Epb4.1l2	0.9224450239243184
Nfkb2	Plagl1	0.9224079506861429
Arid5a	Cxcr6	0.9223711514313828
Cic	Pcbp4	0.9222953554001586
Ahctf1	Pten	0.9222554341653162
Batf	Eci1	0.9222473038405271
Egr1	Mmachc	0.9222242525835205
Bach1	Tcf12	0.9222077300944445
Fos	Abcg2	0.9220609497010711
Elk3	Ggta1	0.9219213745799625
Atf2	Serpinb6b	0.9217197895067836
Arid3a	Xrcc5	0.9215693008292057
Ahctf1	Klf10	0.92152382118762
Crem	Il12rb1	0.9214110337438521
Cux1	Myb	0.9212360657178335
Hbp1	Ptprc	0.9211075338502864
Arid3a	Slc3a2	0.9211066815175764
Zfp386	Cep68	0.9210602994103974
Ahctf1	Tmem71	0.9208137389166113
Hbp1	Armcx2	0.9207710084250087
Batf	Grina	0.9207669260889195
Hbp1	Tpst1	0.920760073481426
Cic	Tmem173	0.9207028200891958
Batf	Zmat3	0.9207003519362938
Satb1	Hif1a	0.9206459303661049
Elk3	Chac1	0.9206401956851946
Creb3l2	St3gal1	0.9204927552350345
Atf6	Lsp1	0.9204473734295043
Rbpj	Rreb1	0.9203973791184209
Klf2	Got1	0.920332963478839
Mafg	Stard5	0.9202786789756843
Foxo1	Cog6	0.9201355694898828
Irf9	Parp9	0.920058113252679
Arid3a	Got1	0.9200144843780874
Zbtb7a	Vapb	0.919936089473192
Elk4	Tlcd1	0.9198455790302229
Clock	Tubb6	0.9197468648812872
Zfp275	Rab8b	0.9196733699590512
Foxo3	Slc3a2	0.9195439171409812
Foxn2	Hlcs	0.9194584387702787
Egr1	Tyms-ps	0.9194387742490884
Eea1	Prkca	0.919359987974174
Zfpm1	Klrd1	0.9192697502649968
Klf6	Hsd17b7	0.9192283675949509
Rbpj	Aes	0.9192055931132304
Cic	Frmd4b	0.9191636079726442
Bach1	Gbp4	0.9190984111163333
Fosl2	Dnmt3b	0.9190571865728598
Pknox1	Son	0.9189536630890179
Fos	Pstpip1	0.9189371458726378
Rela	Nrf1	0.9189223948663396
Arid2	Bmyc	0.9187596973180037
Ahr	Sptlc1	0.9187110607588247
Tal2	Tmem38b	0.918578773370697
Nr4a2	Slc19a2	0.9183723215945819
Bcl6	Rps6ka4	0.9183710428754053
Ahctf1	Zfp239	0.9183671745228305
Mxd4	Abcg1	0.9183082509494589
Zfp275	Gfi1	0.9181388506881946
Crem	Enah	0.9179539655660235
Ahctf1	Dcxr	0.917803378593284
Bach1	Abcg1	0.9178024809693761
Ets1	Igf2bp3	0.917765875253441
Bach1	Ptprc	0.9176391090102091
Stat3	Tns1	0.9176182501628534
Foxk2_Foxp1...	Hmgcr	0.917537747897832
Hbp1	Rab8b	0.9175134805466157
Rora	4833439L19Rik	0.9173636735254089
Egr2	Arrb2	0.9171820287860302
Arid2	Tpst1	0.9170837837432945
Batf	Tm9sf4	0.9170602727598107
Creb3l2	Dffb	0.9170423870129374
Bhlhe40	Pacs1	0.9170271645013719
Bcl6	Rpp14	0.9170073696143942
Cic	Ctla2a	0.9169645009543669
Rara	Ikzf4	0.9169611780648019
Cic	Tspan6	0.9168966925617517
Irf9	Gbp4	0.9168198078031421
Litaf	Lsp1	0.9168136083181585
Irf2	Fas	0.91670303791564
Stat5b	Myb	0.9166794784315694
Hif1a	Eif4ebp1	0.9166713987233649
Ddit3	Ada	0.916632996937154
Cebpb	Dcxr	0.916419293037266
Smad4	Notch1	0.9164035904990788
Hsf1	Cxcr6	0.9163578538202422
Bach1	Ifi203	0.9163572368386135
Rreb1	Tnfsf9	0.9162488984159798
Hif1a	Map3k1	0.9160359253529553
Klf6	Ctla4	0.9160175083101528
Arid2	Tfg	0.9159092044966959
Zfp260	Ifit2	0.915896989392206
Klf4	Pfkp	0.9157942374734617
Zfp91	Ptp4a1	0.9157280387586579
Lef1	Gypc	0.9156155885125904
Pou2af1	Cd96	0.9154660053671936
Mxi1	Kifc3	0.9154647590824229
Fos	Crip1	0.9154489462679729
Klf7	Psmd8	0.9153534587598794
Zfp386	Eea1	0.915191023268659
Arid2	Dctpp1	0.9151579621300777
Ahr	M6pr	0.9150718978309664
Irf7	Mboat7	0.915007594438977
Cic	Anxa2	0.9149510899398041
Bach1	Litaf	0.9149156809840295
Arid3a	Perp	0.9147769453836289
Arid3a	Cnn2	0.9147550742757673
Ahctf1	Cog6	0.9147388784908734
Cebpb	Tyms-ps	0.914605359071441
Irf9	Rtp4	0.9143178206014813
Klf9	Snx11	0.9141938342862987
Fli1	1110057K04Rik	0.9141712123004095
Arid2	Pgm2	0.9140632568073821
Mnt	Prkca	0.9140273850710702
Hmgb1	Pbx2	0.9138797420550191
Hmgb3	Bid	0.913785668117753
Ahr	Rel	0.9137474083156385
Sp2	Ick	0.9137100852370968
Arid5a	Myb	0.9133895705318247
Fli1	Kcna3	0.9133863631520236
Foxo3	Myo6	0.9133853664921875
Cux1	Cd86	0.9133400389592632
Zfp91	Osbpl2	0.9133094838902315
Stat3	Fndc3a	0.9132970687391023
Zeb1	Mvp	0.9132407663895208
Creb3l2	Zmat3	0.9131791671352201
Nfatc1	Ptger2	0.9131604085815631
Cic	B4galt1	0.9131140905897767
Cic	Pdpn	0.9130807532075531
Bach1	Cebpb	0.9129733655718089
Pou2f2	Piga	0.9129669375074986
Atf6	Sult2b1	0.9129599403522805
Gabpa	Snx19	0.9129205442823127
Hif3a	Gja1	0.9129117774273803
Relb	Iqgap2	0.912794211213423
