TF	Target	Confidence
Eea1	Utf1	0.5442058500566795
Deaf1	Bcl2l2	0.5436384733658612
Cux1	Hlcs	0.5435974743213332
Zbtb17	Nrf1	0.5435477233385071
Eea1	Brd3	0.543166309980714
Mtf2	Dctn4	0.5430566637220515
Nr3c1	Acin1	0.5430379662019971
Zfp386	Abcg1	0.5427291972549451
Irf9	Igtp	0.5427218119032964
Egr3	Hexb	0.5426634301733131
Creb1	Sdcbp2	0.5422705826834437
Patz1	Plscr3	0.5422304118772208
Cic	Nsf	0.5416209406535601
Bhlhe40	Ltb	0.5415102359582864
Sp3	Slc35d1	0.5412934773266191
Klf4	Hexb	0.5411995774958835
Egr1	Hspg2	0.5410796902065904
Foxn2	Pten	0.5410199408662741
Ddit3	Xrcc5	0.5409272516469152
Mafg	H2-Eb1	0.5405452116478253
Sox4	Qser1	0.5404120435154491
Cic	Frmd4b	0.5403278060766266
Irf8	Inpp1	0.5400055793050786
Klf4	Ndrg1	0.5398383074472259
Egr1	Fundc2	0.5394078108321231
Arid2	Cdkn2d	0.5393690114927774
Stat3	Bcl11b	0.53929775498756
Srebf1	Mgll	0.5390098600802812
