TF, Gene	Bulk	MicroArray
("Stat3", "Foxo1")	false	false
("Rorc", "Foxo1")	false	false
("Fosl2", "Foxo1")	false	false
("Hif1a", "Foxo1")	false	false
("Irf4", "Foxp1")	true	true
("Batf", "Frmd4b")	true	true
("Irf4", "Frmd4b")	false	false
("Stat3", "Frmd4b")	true	true
("Rorc", "Frmd4b")	false	false
("Batf", "Fth1")	true	true
("Stat3", "Fth1")	false	false
("Fosl2", "Fth1")	true	true
("Batf", "Furin")	false	false
("Irf4", "Furin")	false	false
("Stat3", "Furin")	false	false
("Rorc", "Furin")	false	false
("Hif1a", "Furin")	false	false
("Stat3", "Fyco1")	false	false
("Fosl2", "Fyco1")	false	false
("Batf", "Fyn")	true	true
("Irf4", "Fyn")	true	true
("Batf", "Gadd45g")	true	true
("Hif1a", "Gadd45g")	true	true
("Hif1a", "Galk1")	true	true
("Batf", "Galnt3")	false	false
("Irf4", "Galnt3")	false	false
("Fosl2", "Galnt3")	false	false
("Batf", "Gap43")	true	true
("Fosl2", "Gap43")	false	false
("Batf", "Gart")	false	false
("Irf4", "Gata3")	true	false
("Irf4", "Gatm")	false	false
("Hif1a", "Gatm")	true	true
("Stat3", "Gbp2")	true	true
("Fosl2", "Gbp2")	true	true
("Batf", "Gbp4")	false	false
("Irf4", "Gbp4")	false	false
("Stat3", "Gbp4")	true	true
("Rorc", "Gbp4")	false	false
("Fosl2", "Gbp4")	false	false
("Nfe2l2", "Gbp4")	false	false
("Batf", "Gem")	true	true
("Stat3", "Gem")	true	true
("Rorc", "Gem")	false	false
("Batf", "Gemin6")	false	false
("Batf", "Gfi1")	true	true
("Irf4", "Gfi1")	false	false
("Batf", "Ggta1")	true	false
("Rorc", "Gimap4")	false	false
("Hif1a", "Gimap4")	true	false
("Irf4", "Gimap7")	false	false
("Fosl2", "Gimap7")	false	false
("Hif1a", "Gimap7")	true	false
("Stat3", "Gla")	false	false
("Batf", "Glipr1")	false	false
("Irf4", "Glipr1")	true	true
("Fosl2", "Glipr1")	false	false
("Fosl2", "Gltscr2")	true	true
("Batf", "Gmfg")	true	true
("Irf4", "Gmfg")	false	false
("Stat3", "Gmfg")	false	false
("Fosl2", "Gmfg")	false	false
("Batf", "Gnb5")	true	true
("Stat3", "Gnb5")	false	false
("Batf", "Gnpda1")	true	true
