TF	Gene	Variance_Explained	Rank	Count	Sign
Kdm2b	Spry1	0.05897983953471382	2584.6	4	-1
Atf5	Slc38a1	0.05896215828603911	2811.15	5	1
Cebpb	Dusp6	0.05895651222419355	3047.8	6	1
Mxd4	Armcx2	0.05894253356222814	2104.6	2	1
Klf13	Sh2d3c	0.05884170792149558	2817.6	5	1
Ets1	Dazap2	0.05846424443068917	3035.6	5	1
Stat2	Emb	0.05839389320294823	2343.8	2	1
Zfp51	Golm1	0.0582266048131837	2346.9	2	-1
Elf1	Slc38a1	0.05793304871136854	2343.4	3	-1
Sp2	Dazap2	0.057897861741367296	2107.15	1	1
Thap7	Gsn	0.05775108783340246	2342.85	2	1
Ahctf1	Tfg	0.05764127133719763	2812.85	5	1
Hes6	Spry1	0.05743182972001987	2348.55	2	1
Zfp688	Dhrs1	0.05712660805938117	2347.65	2	1
Atf5	Ube2v1	0.05677033909635567	2581.95	3	1
Zfp51	Ube2v1	0.056513097357727006	2347.35	2	-1
Pbx2	Gja1	0.05634020939640081	2576.4	4	1
Cxxc1	Ube2v1	0.05598339853491394	2104.6	1	1
Zhx1	Spry1	0.05534728130416512	2107.25	1	1
Plagl2	Dusp6	0.05519388038388638	2572.4	3	-1
Zfp322a	Riok3	0.055090623289060635	2349.6	2	1
Foxn2	Dhrs1	0.05485069353940689	2578.85	3	1
Myc	Golm1	0.05476145080749687	2343.35	2	-1
Gata3	Armcx2	0.054079047651569956	2806.25	5	-1
Rora	Dusp6	0.05404107801389422	2104.5	1	-1
Sp3	Ube2v1	0.05365473355639916	2577.45	4	1
Cebpb	Aldh3a2	0.05347492424686299	2339.1	3	1
E4f1	Dusp6	0.05333678369821069	2103.8	1	1
Hmga1_Hmga1-rs1	Emb	0.053293328745308864	2576.45	4	1
Plagl2	Plod3	0.05319034592630077	2344.95	2	1
Zfx	Spry1	0.05316860095616242	2106.9	1	1
Stat5b	Golm1	0.05297447708418721	2106.35	1	-1
Ahr	Armcx2	0.05270532992667339	2579	4	1
Rara	Golm1	0.05233795398495944	2804.95	5	1
Lef1	Anapc1	0.052167307710193345	2811.5	6	1
Irf8	Dusp6	0.05209804615200073	2103.4	1	1
Lyl1_Tal2	Sh2d3c	0.052013160567790186	3040.4	6	1
Zfp472	Ddr1	0.051994111363322305	2576.5	4	1
Fli1	Golm1	0.051943726790909084	2576.25	3	-1
Tsc22d1	Slc38a1	0.05179316336217733	2572.75	3	1
Pknox1	Ddr1	0.05160311338773552	2806.2	5	1
Nfkb2	Tfg	0.051531981186134224	2343.95	3	1
Gata3	Sh2d3c	0.051475142598622604	2345	3	1
Arid3a	Golm1	0.051427128608975116	2103.3	1	1
Nfatc1	Spry1	0.051176513878277465	2103.6	1	1
Mafg	Ddr1	0.0510728219610805	2338.4	2	1
Nfat5	Gsn	0.050861079601874616	2103.3	2	1
Ahr	Emb	0.05084022551708176	2580.8	4	1
Klf10_Klf11	Golm1	0.05075096375156966	2343.95	2	1
Snapc2	Aldh3a2	0.050586069004333344	2813.85	5	1
Ets1	Emb	0.050493733674912514	2342.45	2	1
Mga	Gja1	0.05049361411113362	2574.4	3	1
Bbx	Sh2d3c	0.0504519152092361	2344.05	2	-1
Plscr1	Dusp6	0.05015688239262047	2343.4	2	1
Nr1d2	Golm1	0.04976616489002689	2102.35	1	1
Gtf2ird1	Ddr1	0.04976266592267324	2102.9	1	1
Cux1	Dhrs1	0.04975780387614985	2341.85	3	1
Ncoa3	Armcx2	0.04959564317511276	2105.15	1	-1
Fosl2	Golm1	0.049492866200098365	2343.55	3	1
Mef2d	Spry1	0.04941351203519524	2805.5	4	1
Irf1	Anapc1	0.049317116358247017	2101.8	1	-1
Nr3c1	Sh2d3c	0.049178759700511845	2577.45	4	-1
Dzip1	Emb	0.049058054508077674	2341.05	2	1
Egr3	Spry1	0.04895077487574047	2105.55	1	1
Atf3	Emb	0.048861431833319646	2337.45	2	1
Zfp101	Dazap2	0.04871929584574121	2347.8	2	1
Zfp84	Spry1	0.04868237728243361	2340.8	2	1
Hmgb3	Slc38a1	0.04867258435387588	2343.5	2	1
Clock	Psph	0.04836352527108996	2810.55	5	1
Rest	Emb	0.048357405205235494	2343.3	3	1
Stat5b	Dusp6	0.04820508452321905	2339.75	2	1
Egr3	Dhrs1	0.04806347495446526	2102.6	1	-1
Sp4	Dazap2	0.04785881355657042	2105.2	1	1
